host_time_s,t_ms,ax1,ay1,az1,gx1,gy1,gz1,yaw1,pitch1,roll1,ax2,ay2,az2,gx2,gy2,gz2,yaw2,pitch2,roll2,emg1,emg2
1771521975.177403,295001,0.08,0.01,-0.02,-25.50,-82.44,72.19,0.19,0.37,-0.75,-0.04,-0.10,-0.08,143.69,54.63,307.69,0.06,0.69,-1.06,2,3
1771521975.368775,295192,0.09,0.14,-0.14,-26.56,-82.75,72.06,0.06,1.62,0.19,-0.04,-0.11,-0.07,143.75,54.75,307.87,-0.44,0.31,0.00,2,3
1771521975.559905,295383,0.02,0.03,-0.17,-26.50,-82.81,72.19,0.88,-0.88,-0.81,-0.01,-0.09,-0.04,143.62,54.63,307.69,-0.06,-0.81,1.94,2,3
1771521975.750121,295574,0.00,0.19,0.00,-24.62,-82.56,71.81,-5.31,-1.62,0.31,-0.05,-0.15,-0.09,143.06,54.44,307.06,0.62,-0.75,0.37,3,4
1771521975.939736,295763,0.00,0.09,-0.01,-25.06,-82.44,71.62,2.06,-0.19,-0.37,-0.07,-0.15,-0.09,143.12,54.38,307.06,-0.31,-0.44,0.13,3,5
1771521976.129989,295954,0.04,-0.06,-0.10,-24.31,-82.56,72.06,0.37,-0.37,0.25,-0.01,-0.11,-0.11,143.12,54.38,307.06,0.13,-0.69,-0.19,3,4
1771521976.321490,296145,0.02,0.06,-0.08,-25.44,-82.50,71.75,-0.25,0.31,0.88,-0.08,-0.13,-0.12,143.25,54.31,307.12,-1.31,0.37,-0.06,3,5
1771521976.512982,296337,0.00,0.01,-0.04,-25.50,-82.56,72.00,2.94,3.06,-2.37,-0.03,-0.08,-0.09,143.31,54.38,307.31,-0.31,0.00,-0.62,3,4
1771521976.703777,296527,0.11,0.12,-0.18,-26.19,-83.00,72.06,-1.19,-0.06,-0.25,0.00,-0.19,-0.10,143.37,54.31,307.31,-0.81,-1.81,1.31,4,5
1771521976.893169,296717,0.13,0.13,-0.13,-2.50,-83.37,72.12,-3.12,4.00,-2.62,0.02,-0.16,-0.06,143.25,54.44,307.50,-1.19,0.88,0.56,5,5
1771521977.083400,296907,-0.02,-0.03,0.02,-2.62,-83.37,72.25,-0.62,-1.37,1.50,0.00,-0.11,-0.07,143.25,54.44,307.56,-0.19,0.00,0.00,4,5
1771521977.274014,297098,0.05,0.05,-0.05,-2.75,-83.37,72.06,0.06,1.19,-0.25,0.03,-0.08,-0.03,143.25,54.44,307.56,-1.75,-0.44,0.62,4,6
1771521977.466037,297290,0.00,0.09,-0.13,-3.12,-83.37,69.81,-25.44,2.94,4.25,0.01,-0.13,-0.02,142.62,53.63,306.81,0.81,-1.62,3.62,5,5
1771521977.657066,297481,0.03,0.11,0.00,-3.69,-83.19,67.69,8.50,-2.81,0.69,-0.04,-0.04,-0.11,142.75,53.44,306.62,-1.87,-0.31,0.69,4,5
1771521977.846531,297670,-0.13,0.17,0.20,-3.50,-83.50,69.19,7.37,9.69,-6.19,-0.02,-0.15,0.00,142.62,53.44,306.62,2.44,2.69,-4.12,5,4
1771521978.034821,297859,0.02,-0.67,0.10,-2.00,-86.19,75.75,43.63,14.94,3.75,-0.03,-0.16,-0.11,144.25,55.19,308.44,-1.50,5.25,-10.13,5,4
1771521978.223065,298047,0.16,-0.16,-0.12,-2.37,-86.81,77.25,-7.31,-5.87,-2.50,0.04,0.01,0.03,144.50,56.00,309.81,0.00,2.25,-1.50,5,3
1771521978.411066,298235,0.09,0.00,-0.14,-2.06,-86.31,76.25,-4.12,1.12,0.06,0.01,-0.06,0.00,144.50,56.63,310.56,0.00,0.44,-0.56,4,3
1771521978.600005,298424,0.12,-0.06,-0.05,-2.19,-85.81,75.75,-2.50,-6.75,2.81,0.00,0.02,0.00,144.56,56.38,310.31,1.19,-3.19,1.62,3,2
1771521978.788512,298612,-0.10,0.14,0.02,-2.81,-84.50,74.31,-5.56,-4.62,3.87,0.00,-0.06,-0.07,144.50,55.81,309.62,0.06,-2.12,0.75,3,3
