host_time_s,t_ms,ax,ay,az,gx,gy,gz,yaw,pitch,roll
1769610287.484724,18464,0.020000,-0.140000,-0.020000,0.625000,-0.812500,0.000000,321.000000,-2.125000,94.375000
1769610287.984687,18964,-0.010000,-0.180000,-0.120000,-1.375000,4.875000,2.062500,321.062500,-2.750000,94.437500
1769610288.484371,19464,0.020000,-0.010000,-0.050000,-0.875000,3.062500,2.000000,321.125000,-3.375000,94.875000
1769610288.988012,19964,-0.120000,-0.270000,-0.020000,-0.125000,0.625000,0.812500,320.937500,-3.562500,95.062500
1769610289.488237,20464,-0.010000,-0.130000,-0.080000,-0.312500,1.062500,2.562500,320.500000,-3.750000,94.687500
1769610289.987564,20964,-0.010000,-0.140000,-0.070000,0.250000,-0.062500,0.625000,320.312500,-3.875000,94.875000
1769610290.491218,21464,0.010000,-0.040000,-0.050000,-0.437500,1.062500,1.062500,320.500000,-3.750000,95.062500
1769610290.987358,21964,-0.460000,0.670000,0.910000,20.062500,4.875000,-70.250000,329.687500,6.000000,95.750000
1769610291.490328,22464,-0.070000,-1.210000,-0.540000,9.000000,-38.312500,-97.062500,17.937500,54.875000,108.562500
1769610291.990040,22964,-0.270000,0.370000,-0.290000,-16.375000,-0.937500,-8.875000,236.062500,68.687500,124.000000
1769610292.489997,23464,-0.150000,0.020000,-0.110000,6.687500,2.875000,-13.375000,241.125000,70.062500,135.812500
1769610292.989868,23964,-0.040000,0.050000,-0.150000,-1.062500,-0.625000,3.187500,245.437500,71.875000,142.187500
1769610293.489277,24464,-0.090000,-0.080000,-0.020000,-6.250000,-2.375000,-3.312500,247.562500,71.562500,146.812500
1769610293.989221,24964,-0.180000,-0.050000,-0.050000,-3.125000,3.437500,-2.187500,248.500000,72.312500,147.875000
1769610294.492603,25464,-0.110000,-0.030000,0.080000,-2.125000,-2.750000,-2.562500,251.500000,72.312500,151.000000
1769610294.992429,25964,-0.080000,0.010000,-0.010000,-0.812500,0.625000,1.937500,256.187500,73.062500,152.875000
1769610295.492016,26464,-0.200000,-0.060000,0.030000,4.687500,1.750000,1.750000,255.000000,73.000000,152.000000
1769610295.992025,26964,-0.150000,0.100000,-0.050000,-0.250000,-0.937500,1.562500,254.812500,75.687500,147.562500
1769610296.491789,27464,0.010000,-0.150000,-0.030000,-3.437500,-0.187500,3.375000,250.125000,73.500000,141.625000
1769610296.995361,27964,-0.260000,0.100000,-0.090000,-4.500000,-1.250000,-2.000000,254.625000,74.312500,146.875000
1769610297.495087,28464,0.100000,-0.080000,0.120000,-0.875000,-8.687500,-0.562500,256.812500,74.187500,147.937500
1769610297.998525,28964,-0.190000,-0.020000,-0.080000,5.000000,-2.062500,-1.937500,257.562500,72.312500,152.937500
1769610298.498094,29464,-0.230000,-0.120000,0.120000,5.625000,13.125000,-21.125000,262.937500,75.125000,165.250000
1769610298.994206,29964,-0.070000,-0.290000,0.050000,0.250000,-4.812500,-10.625000,267.812500,77.812500,168.875000
1769610299.497595,30464,0.090000,-0.230000,-0.050000,1.375000,16.250000,-21.437500,273.937500,77.687500,-163.375000
1769610299.997578,30964,0.660000,0.360000,0.480000,73.250000,-4.375000,131.750000,235.500000,68.812500,93.187500
1769610300.500939,31464,0.050000,-1.990000,0.270000,94.375000,21.125000,20.062500,182.312500,23.312500,42.937500
1769610301.000898,31964,0.080000,0.260000,0.130000,3.687500,4.187500,0.562500,164.125000,-2.500000,8.625000
1769610301.500674,32464,0.140000,0.210000,-0.380000,0.750000,0.375000,0.062500,164.125000,-2.125000,8.187500
1769610302.000099,32964,0.120000,0.170000,-0.350000,-0.250000,-0.125000,-0.062500,164.125000,-1.937500,8.000000
1769610302.500032,33464,0.130000,0.110000,-0.040000,0.000000,-0.437500,0.000000,164.187500,-1.687500,7.750000
1769610302.999771,33964,0.110000,0.130000,-0.090000,0.062500,-0.062500,-0.062500,164.187500,-1.687500,7.750000
1769610303.503177,34464,0.110000,0.120000,-0.010000,0.000000,-0.062500,0.000000,164.187500,-1.687500,7.750000
1769610304.003045,34964,0.130000,0.130000,0.010000,0.375000,0.187500,-0.062500,164.187500,-1.687500,7.750000
1769610304.502708,35464,0.110000,0.140000,-0.040000,0.187500,0.250000,-0.062500,164.187500,-1.687500,7.750000
1769610305.002600,35964,0.130000,0.150000,-0.020000,0.125000,-0.062500,0.000000,164.187500,-1.687500,7.750000
1769610305.502388,36464,0.120000,0.150000,-0.010000,-0.062500,0.125000,0.000000,164.187500,-1.687500,7.750000
1769610306.005659,36964,0.120000,0.170000,-0.020000,0.187500,-0.062500,0.062500,164.187500,-1.687500,7.750000
1769610306.505671,37464,0.100000,0.110000,-0.030000,0.062500,-0.062500,-0.062500,164.187500,-1.562500,7.625000
1769610307.005422,37964,0.050000,0.090000,0.010000,0.125000,0.187500,0.000000,164.187500,-1.437500,7.437500
